Strain	Tropism
MidiIricVT	Intramitochondrial
MidiHmarAsinara	Intramitochondrial
Aquarickettsiarohwerii	Not_Intramitochondrial
Rickettsiabellii	Not_Intramitochondrial
MidiIricESP	Intramitochondrial
Fokiniasolitaria	Not_Intramitochondrial
Anaplasmamarginale	Not_Intramitochondrial
Swittichii	Not_Intramitochondrial
Neorickettsiasennetsu	Not_Intramitochondrial
Rrubrum	Not_Intramitochondrial
MidiIholoSidney	Not_Intramitochondrial
Neoehrlichialotoris	Not_Intramitochondrial
MidiIaulAkure	Unknown
Ehrlichiachaffeensis	Not_Intramitochondrial
MidiIfro	Intramitochondrial
Neorickettsiahelminthoeca	Not_Intramitochondrial
MidiIricNA	Intramitochondrial
Ccomes	Not_Intramitochondrial
GrelliaRETA	Not_Intramitochondrial
RickettsialesendosymbiontPeranema	Not_Intramitochondrial
Anaplasmaphagocytophilum	Not_Intramitochondrial
wCle	Not_Intramitochondrial
Phycorickettsiatrachydisci	Not_Intramitochondrial
PlagiopylaSymbiont	Not_Intramitochondrial
Ehrlichiaruminantium	Not_Intramitochondrial
RickettsialesbacteriumAc37b	Not_Intramitochondrial
Lsinuosum	Not_Intramitochondrial
Rcapsulatus	Not_Intramitochondrial
Occidentiamassiliensis	Not_Intramitochondrial
MIDI	Intramitochondrial
Bandiellawoodruffii	Not_Intramitochondrial
MidiIricAchnasheen	Intramitochondrial
wBm	Not_Intramitochondrial
RickettsialesStachyamo	Not_Intramitochondrial
Fcryptica	Not_Intramitochondrial
MidiIricChize	Intramitochondrial
JidaibacterUWC8	Not_Intramitochondrial
Mvenefica	Not_Intramitochondrial
Orientiatsutsugamushi	Not_Intramitochondrial
Rickettsiaprowazekii	Not_Intramitochondrial
wNo	Not_Intramitochondrial
Trichorickettsiapmilti	Not_Intramitochondrial
LebedevaSymbiont	Not_Intramitochondrial
Csegnis	Not_Intramitochondrial
MidiHscuESP	Not_Intramitochondrial
MidiHmarESP	Intramitochondrial
Mpolyxenophila	Not_Intramitochondrial
